year,home_team,home_points,away_team,away_points
2015,Northern Illinois,59,Ball State,41
2015,Georgia State,3,App State,37
2015,Texas Tech,66,Iowa State,31
2015,Notre Dame,41,Navy,24
2015,Michigan,38,Northwestern,0
2015,Nebraska,21,Wisconsin,23
2015,Tennessee,38,Georgia,31
2015,Houston Christian,7,Central Arkansas,43
2015,UCF,13,UConn,40
2015,Murray State,34,Austin Peay,18
2015,Montana,21,Weber State,24
2015,Stephen F. Austin,28,Nicholls,24
2015,Mississippi State,45,Troy,17
2015,Arizona,44,Oregon State,7
2015,Morgan State,42,Savannah St,3
2015,Grambling,37,Alabama A&M,14
2015,Western Illinois,40,South Dakota,21
2015,Eastern Washington,42,Cal Poly,41
2015,Florida A&M,24,North Carolina Central,27
2015,North Texas,7,Portland State,66
2015,Campbell,10,Marist,13
2015,Oregon,38,Washington State,45
2015,Columbia,26,Wagner,3
2015,Tulsa,34,UL Monroe,24
2015,Jacksonville,41,Stetson,14
2015,Alabama State,34,Southern,45
2015,UTSA,31,Louisiana Tech,34
2015,Sam Houston,59,Incarnate Word,7
2015,Gardner-Webb,34,Liberty,20
2015,UC Davis,38,Northern Arizona,24
2015,Alabama,27,Arkansas,14
2015,Youngstown State,29,Illinois State,31
2015,Southern Illinois,73,Missouri State,26
2015,South Dakota State,24,Indiana State,7
2015,Nevada,35,New Mexico,17
2015,Louisiana,49,Texas State,27
2015,Colorado State,10,Boise State,41
2015,West Virginia,26,Oklahoma State,33
2015,McNeese,21,SE Louisiana,7
2015,Montana State,35,Sacramento State,13
2015,Missouri,3,Florida,21
2015,BYU,45,East Carolina,38
2015,Kansas State,45,TCU,52
2015,Florida State,29,Miami,24
2015,Rutgers,24,Michigan State,31
2015,Lamar,44,Abilene Christian,28
2015,UNLV,27,San José State,33
2015,Arizona State,48,Colorado,23
2015,Utah,30,California,24
2015,Air Force,31,Wyoming,17
2015,Fresno State,14,Utah State,56
2015,Hawai'i,14,San Diego State,28
2015,South Alabama,31,Arkansas State,49
2015,Kentucky,27,Auburn,30
2015,Arkansas-Pine Bluff,24,Alabama State,31
2015,North Texas,28,Western Kentucky,55
2015,Stanford,56,UCLA,35
2015,BYU,38,Cincinnati,24
2015,Tulane,7,Houston,42
2015,Utah State,52,Boise State,26
2015,Fresno State,31,UNLV,28
2015,Florida State,41,Louisville,21
2015,Army,21,Bucknell,14
2015,Baylor,62,West Virginia,38
2015,Central Connecticut,7,Dartmouth,34
2015,Brown,38,Princeton,31
2015,William & Mary,34,New Hampshire,18
2015,Rhode Island,12,Richmond,37
2015,Florida Atlantic,17,Marshall,33
2015,Middle Tennessee,42,Florida International,34
2015,UConn,20,South Florida,28
2015,East Carolina,30,Tulsa,17
2015,Memphis,37,Ole Miss,24
2015,Ohio,14,Western Michigan,49
2015,Bryant,38,Duquesne,17
2015,Northwestern,10,Iowa,40
2015,Toledo,63,Eastern Michigan,20
2015,Mississippi State,45,Louisiana Tech,20
2015,Kansas,20,Texas Tech,30
2015,Wisconsin,24,Purdue,7
